"icelines_rank","player","team","positions","expected_fantasy_points","fantasy_points_2025_26","nhl_expert_rank","quiet_slate_games"
"270","Marcus Foligno","MIN","LW","160.6","156.8","","11"
"271","Matt Coronato","CGY","RW","160.3","182.2","234","11"
"272","Bowen Byram","CHI","D","159.2","198","164","15"
"273","Jimmy Snuggerud","STL","RW","158.2","218.8","58","5"
"274","Dawson Mercer","NJD","C/RW","157.7","176.5","","9"
"275","Conor Garland","CBJ","RW","157.6","148.8","","10"
"276","Noah Laba","NYR","C","157.2","153.5","","18"
"277","Jonathan Huberdeau","CGY","LW","157.2","115.2","","11"
"278","Brent Burns","COL","D","157","153.2","","17"
"279","Casey Mittelstadt","BOS","C/LW","157","149.5","","14"
"280","David Rittich","NJD","G","156.4","152.8","","9"
"281","Sean Walker","CAR","D","156.2","216.8","","12"
"282","Oliver Ekman-Larsson","TOR","D","155.5","192.8","","13"
"283","Seth Jones","FLA","D","154.8","170","167","10"
"284","Jake McCabe","TOR","D","154.3","208.2","","13"
"285","Alex Iafallo","WPG","LW","154.2","182.2","","11"
"286","Mathieu Olivier","CBJ","RW","154.2","202","","10"
"287","Sean Couturier","PHI","C","154.1","168","","12"
"288","Daniil Tarasov","DET","G","153.7","172.9","","17"
"289","Keegan Kolesar","DET","RW","153.5","201.8","","17"
"290","Luke Hughes","NJD","D","153.4","149.2","193","9"
"291","Cole Perfetti","WPG","C/LW/RW","153","145.5","","11"
"292","Arvid Soderblom","CHI","G","152","133.4","","15"
"293","Taylor Hall","CAR","LW","151.6","185.5","208","12"
"294","Ryan Donato","CHI","C/LW/RW","151.6","139","","15"
"295","Josh Manson","COL","D","150.9","213.2","","17"
"296","Noah Hanifin","VGK","D","150.7","156","243","10"
"297","Martin Fehervary","WSH","D","150.6","208.8","","16"
"298","Thomas Chabot","OTT","D","150.3","168.2","207","11"
"299","Ridly Greig","OTT","C/LW/RW","150.1","175.8","","11"
"300","Jackson Blake","CAR","RW","150","194.8","121","12"
